# FRAME NUMBERS ARE VM FRAMES (-3710 from the VM sweep).
# JP shot rows for convert_opening.py, from the 1-frame sweep with eyes-on
# scene identification.  A finer segmentation would fragment the LINEUP
# scroll into single-frame rows; the converter's scroll clustering expects
# the pan inside one shot row (USA precedent: shot 2 lumps GANG BAR + LINEUP).  JP scene order
# differs from USA: LINEUP comes BEFORE GANG BAR, a CAPCOM (R) card plays
# before CODY & GUY, and the opening ends on a white flash into black.
# The map fades in at f3848; 3400-3845 is Sega license/boot material.
# shot	f_start	f_end	seconds	still_tiles	cross_tiles	distinct_images	colours
0	138	767	10.5	343	2632	16	16
1	770	1330	9.3	500	4000	60	32
2	1340	2070	12.2	557	3029	15	21
3	2080	2850	12.8	406	2187	10	23
4	2860	2950	1.5	310	1211	7	30
5	2960	4600	27.3	360	723	13	30
6	4610	4670	1.0	144	647	4	29
7	4680	5960	21.3	381	2307	35	33
8	5970	6350	6.3	27	131	6	7
9	6360	7630	21.0	406	1969	35	30
10	7640	7840	3.3	434	1076	7	22
